Unnamed: 0;type;subtype;bedroomCount;bathroomCount;province;locality;postCode;habitableSurface;buildingCondition;buildingConstructionYear;facedeCount;floodZoneType;heatingType;kitchenType;hasLivingRoom;toiletCount;hasTerrace;epcScore;price
221;APARTMENT;APARTMENT;1.0;1.0;Brussels;ETTERBEEK;1040;48.0;;1930.0;2.0;NON_FLOOD_ZONE;GAS;SEMI_EQUIPPED;;1.0;TRUE;G;220000.0
222;APARTMENT;APARTMENT;1.0;1.0;Brussels;ETTERBEEK;1040;138.0;;1930.0;2.0;NON_FLOOD_ZONE;GAS;SEMI_EQUIPPED;;1.0;TRUE;G;389000.0
223;APARTMENT;DUPLEX;3.0;2.0;Brussels;Etterbeek;1040;117.0;GOOD;1918.0;2.0;;GAS;SEMI_EQUIPPED;TRUE;2.0;TRUE;E;419000.0
224;APARTMENT;APARTMENT;2.0;1.0;Brussels;ETTERBEEK;1040;84.0;;1956.0;2.0;NON_FLOOD_ZONE;GAS;HYPER_EQUIPPED;;1.0;TRUE;C;465000.0
225;HOUSE;HOUSE;6.0;1.0;Brussels;Etterbeek;1040;260.0;TO_RENOVATE;1909.0;2.0;NON_FLOOD_ZONE;FUELOIL;NOT_INSTALLED;;2.0;;G;675000.0
226;APARTMENT;APARTMENT;1.0;1.0;Brussels;Etterbeek;1040;90.0;GOOD;1960.0;2.0;NON_FLOOD_ZONE;GAS;INSTALLED;TRUE;1.0;TRUE;F;380000.0
227;APARTMENT;APARTMENT;2.0;1.0;Brussels;ETTERBEEK;1040;82.0;;1958.0;;;;;TRUE;1.0;TRUE;F;340000.0
229;APARTMENT;APARTMENT;1.0;1.0;Brussels;Etterbeek;1040;59.0;AS_NEW;1962.0;;;GAS;HYPER_EQUIPPED;TRUE;1.0;;E;270000.0
230;APARTMENT;APARTMENT;2.0;1.0;Brussels;Etterbeek;1040;103.0;GOOD;1929.0;3.0;NON_FLOOD_ZONE;FUELOIL;INSTALLED;TRUE;1.0;;D;450000.0
231;APARTMENT;APARTMENT;2.0;1.0;Brussels;ETTERBEEK;1040;96.0;JUST_RENOVATED;1960.0;2.0;;GAS;INSTALLED;TRUE;1.0;TRUE;C;437500.0
